sensorid;Column5;djup[mˆh];placering;typ;filtrerad
A81758FFFE04CDD8;2021-09-24 19:00;27.994;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 19:15;27.993;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 19:30;27.998;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 19:45;28.02;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 20:00;28.031;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 20:15;28.082;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 20:30;28.052;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 20:45;28.086;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 21:00;28.079;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 21:15;28.074;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 21:30;28.1;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 21:45;28.072;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 22:00;26.983;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 22:15;28.078;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 22:30;28.069;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 22:45;28.089;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 23:00;28.094;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 23:15;28.068;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 23:30;28.084;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-24 23:45;28.067;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 00:00;28.061;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 00:15;28.064;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 00:30;28.078;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 00:45;28.059;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 01:00;28.031;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 01:15;28.052;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 01:30;26.975;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 01:45;28.054;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 02:00;28.047;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 02:15;28.031;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 02:30;28.024;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 02:45;28.014;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 03:00;28.015;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 03:15;28.035;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-25 03:30;27.944;Ankdammen;NivÂ;FALSE
